segmento,tiempo_ms,temperatura_C,humedad_pct,presion_hPa,lux,mq135_raw,sonido_estado,sonido_flancos_1s
A,1386,nan,nan,nan,1088.3,18,0,0
A,2386,nan,nan,nan,1083.3,18,0,0
A,3386,nan,nan,nan,1080.8,18,0,0
A,4386,nan,nan,nan,1080.0,18,0,0
A,5386,nan,nan,nan,1081.7,18,0,0
A,6386,nan,nan,nan,1082.5,18,0,0
A,7386,nan,nan,nan,1082.5,18,0,0
A,8386,nan,nan,nan,1081.7,18,0,0
A,9387,nan,nan,nan,1078.3,18,0,0
A,10387,nan,nan,nan,1076.7,18,0,0
A,11387,nan,nan,nan,1073.3,18,0,0
A,12387,nan,nan,nan,1053.3,18,0,0
A,13387,nan,nan,nan,1049.2,18,0,0
A,14387,nan,nan,nan,1049.2,18,0,0
A,15387,nan,nan,nan,1070.0,18,0,0
A,16387,nan,nan,nan,1072.5,18,0,0
A,17387,nan,nan,nan,1072.5,18,0,0
A,18387,nan,nan,nan,1075.8,18,0,0
A,19387,nan,nan,nan,1071.7,18,0,0
A,20387,nan,nan,nan,1075.8,18,0,0
A,21387,nan,nan,nan,1079.2,18,0,0
A,22387,nan,nan,nan,1082.5,18,0,0
A,23387,nan,nan,nan,1084.2,18,0,0
A,24387,nan,nan,nan,1080.0,18,0,0
A,25387,nan,nan,nan,1077.5,18,0,0
A,26387,nan,nan,nan,1075.8,18,0,0
A,27387,nan,nan,nan,1075.8,18,0,2
A,28387,nan,nan,nan,1078.3,18,0,0
A,29387,nan,nan,nan,1083.3,18,0,0
A,30387,nan,nan,nan,1086.7,18,0,0
A,31387,nan,nan,nan,1088.3,18,0,0
A,32387,nan,nan,nan,1090.0,18,0,0
A,33387,nan,nan,nan,1088.3,18,0,0
A,34387,nan,nan,nan,1097.5,18,0,0
A,35387,nan,nan,nan,1103.3,18,0,0
A,36387,nan,nan,nan,479.2,19,0,0
A,37387,nan,nan,nan,430.0,19,0,0
A,38387,nan,nan,nan,1100.0,18,0,0
A,39387,nan,nan,nan,1095.8,18,0,0
A,40387,nan,nan,nan,1116.7,19,0,0
A,41387,nan,nan,nan,1112.5,18,0,4
A,42387,nan,nan,nan,1113.3,18,0,0
A,43387,nan,nan,nan,1068.3,18,0,0
A,44387,nan,nan,nan,1048.3,18,0,0
A,45387,nan,nan,nan,1040.8,18,0,0
A,46387,nan,nan,nan,1040.8,19,0,0
A,47387,nan,nan,nan,1050.0,19,0,0
A,48387,nan,nan,nan,1103.3,18,0,0
A,49387,nan,nan,nan,1100.0,19,0,0
A,50387,nan,nan,nan,1098.3,19,0,0
A,51387,nan,nan,nan,1100.0,18,0,0
A,52387,nan,nan,nan,1102.5,18,0,0
A,53387,nan,nan,nan,1103.3,18,0,0
A,54387,nan,nan,nan,1105.8,18,0,0
A,55387,nan,nan,nan,1113.3,18,0,0
A,56387,nan,nan,nan,1120.8,18,0,0
A,57387,nan,nan,nan,1125.0,18,0,0
A,58387,nan,nan,nan,1130.0,18,0,0
A,59387,nan,nan,nan,1133.3,18,0,0
A,60387,nan,nan,nan,1132.5,18,0,0
A,61387,nan,nan,nan,1137.5,18,0,0
A,62387,nan,nan,nan,1135.8,18,0,0
A,63387,nan,nan,nan,1135.0,18,0,0
A,64387,nan,nan,nan,1131.7,18,0,0
A,65387,nan,nan,nan,1131.7,18,0,0
A,66387,nan,nan,nan,1138.3,18,0,0
A,67387,nan,nan,nan,1140.8,18,0,0
A,68387,nan,nan,nan,1140.8,18,0,0
A,69387,nan,nan,nan,1137.5,18,0,0
A,70387,nan,nan,nan,1135.0,18,0,0
A,71387,nan,nan,nan,1134.2,18,0,0
A,72387,nan,nan,nan,1130.0,18,0,0
A,73387,nan,nan,nan,1126.7,18,0,0
A,74387,nan,nan,nan,1127.5,18,0,0
A,75387,nan,nan,nan,1130.0,18,0,0
A,76387,nan,nan,nan,1133.3,18,0,0
A,77387,nan,nan,nan,1134.2,18,0,0
A,78387,nan,nan,nan,1136.7,18,0,0
A,79387,nan,nan,nan,1136.7,18,0,0
A,80387,nan,nan,nan,1133.3,18,0,0
A,81387,nan,nan,nan,1129.2,18,0,0
A,82387,nan,nan,nan,1130.0,18,0,0
A,83387,nan,nan,nan,1125.0,18,0,0
A,84387,nan,nan,nan,1124.2,18,0,0
A,85387,nan,nan,nan,1127.5,18,0,0
A,86387,nan,nan,nan,1127.5,18,0,0
A,87387,nan,nan,nan,1129.2,18,0,0
A,88387,nan,nan,nan,1128.3,18,0,0
A,89387,nan,nan,nan,1127.5,18,0,0
A,90387,nan,nan,nan,1125.0,18,0,0
A,91387,nan,nan,nan,1123.3,18,0,0
A,92387,nan,nan,nan,1120.0,18,0,0
A,93387,nan,nan,nan,1115.8,18,0,0
A,94387,nan,nan,nan,1115.8,18,0,4
A,95387,nan,nan,nan,1114.2,18,0,0
A,96387,nan,nan,nan,1109.2,18,0,2
A,97387,nan,nan,nan,1110.0,18,0,0
A,98387,nan,nan,nan,1111.7,18,0,0
A,99387,nan,nan,nan,1119.2,18,0,0
A,100387,nan,nan,nan,1115.8,18,0,0
A,101387,nan,nan,nan,1107.5,18,0,0
A,102387,nan,nan,nan,1106.7,18,0,0
A,103387,nan,nan,nan,1105.0,18,0,0
A,104387,nan,nan,nan,1110.8,18,0,0
A,105387,nan,nan,nan,1115.0,18,0,0
A,106387,nan,nan,nan,1120.0,18,0,0
A,107387,nan,nan,nan,1123.3,18,0,0
A,108387,nan,nan,nan,1122.5,18,0,0
A,109387,nan,nan,nan,1118.3,18,0,0
A,110387,nan,nan,nan,1114.2,18,0,0
A,111387,nan,nan,nan,1116.7,18,0,0
A,112387,nan,nan,nan,1115.8,18,0,0
A,113387,nan,nan,nan,1115.8,18,0,2
A,114387,nan,nan,nan,1109.2,18,0,0
A,115387,nan,nan,nan,1138.3,18,0,16
A,116387,nan,nan,nan,1095.0,18,0,0
A,117387,nan,nan,nan,1100.0,18,0,0
A,118387,nan,nan,nan,1100.8,18,0,0
A,119387,nan,nan,nan,1102.5,18,0,0
A,120387,nan,nan,nan,1102.5,18,0,0
A,121387,nan,nan,nan,1097.5,18,0,0
A,122387,nan,nan,nan,1093.3,18,0,0
A,123387,nan,nan,nan,1089.2,18,0,0
A,124387,nan,nan,nan,1087.5,18,0,0
A,125387,nan,nan,nan,1070.0,18,0,0
A,126387,nan,nan,nan,907.5,21,0,62
A,127387,nan,nan,nan,1077.5,20,0,0
A,128387,nan,nan,nan,1049.2,20,0,0
A,129387,nan,nan,nan,933.3,20,0,4
A,130387,nan,nan,nan,786.7,22,0,30
A,131387,nan,nan,nan,773.3,22,0,16
A,132387,nan,nan,nan,1016.7,21,0,12
A,133387,nan,nan,nan,1027.5,21,0,0
A,134387,nan,nan,nan,980.0,22,1,5
A,135387,nan,nan,nan,1010.0,21,0,3
A,136387,nan,nan,nan,1055.0,20,0,0
A,137387,nan,nan,nan,1060.0,20,0,0
A,138387,nan,nan,nan,1058.3,20,0,0
A,139387,nan,nan,nan,1054.2,20,0,0
A,140387,nan,nan,nan,1050.0,19,0,0
A,141387,nan,nan,nan,1045.8,19,0,0
A,142387,nan,nan,nan,1046.7,19,0,0
A,143387,nan,nan,nan,1044.2,19,0,0
A,144387,nan,nan,nan,1043.3,19,0,0
A,145387,nan,nan,nan,1043.3,19,0,0
A,146387,nan,nan,nan,1045.8,19,0,0
A,147387,nan,nan,nan,1045.0,18,0,0
A,148387,nan,nan,nan,1041.7,19,0,0
A,149387,nan,nan,nan,1038.3,18,0,0
A,150387,nan,nan,nan,1038.3,18,0,0
A,151387,nan,nan,nan,1038.3,18,0,0
A,152387,nan,nan,nan,1037.5,18,0,0
A,153387,nan,nan,nan,1038.3,18,0,0
A,154387,nan,nan,nan,1036.7,18,0,0
A,155387,nan,nan,nan,1037.5,18,0,0
A,156387,nan,nan,nan,1035.8,18,0,4
A,157387,nan,nan,nan,1035.8,18,0,0
A,158387,nan,nan,nan,1040.0,18,0,0
A,159387,nan,nan,nan,1038.3,18,0,0
A,160387,nan,nan,nan,1041.7,18,0,0
A,161387,nan,nan,nan,1039.2,18,0,0
A,162387,nan,nan,nan,1047.5,18,0,0
A,163387,nan,nan,nan,1044.2,18,0,0
A,164387,nan,nan,nan,1052.5,18,0,0
A,165387,nan,nan,nan,1059.2,18,0,0
A,166387,nan,nan,nan,1060.8,18,0,0
A,167387,nan,nan,nan,1065.8,18,0,0
A,168387,nan,nan,nan,1066.7,18,0,0
A,169387,nan,nan,nan,1068.3,18,0,2
A,170387,nan,nan,nan,1067.5,18,0,4
A,171387,nan,nan,nan,1066.7,18,0,0
A,172387,nan,nan,nan,1069.2,18,0,0
A,173387,nan,nan,nan,994.2,18,0,0
A,174387,nan,nan,nan,1074.2,18,0,0
A,175387,nan,nan,nan,1090.0,18,0,0
A,176387,nan,nan,nan,1105.8,18,0,0
A,177387,nan,nan,nan,1110.8,18,0,0
A,178387,nan,nan,nan,1111.7,18,0,0
A,179387,nan,nan,nan,1113.3,18,0,0
A,180387,nan,nan,nan,1119.2,18,0,0
A,181387,nan,nan,nan,1123.3,18,0,0
A,182387,nan,nan,nan,1129.2,18,0,0
A,183387,nan,nan,nan,1131.7,18,0,0
A,184387,nan,nan,nan,1133.3,18,0,0
A,185387,nan,nan,nan,1135.0,18,0,0
A,186387,nan,nan,nan,1139.2,18,0,0
A,187387,nan,nan,nan,1142.5,18,0,0
A,188387,nan,nan,nan,1142.5,18,0,0
A,189387,nan,nan,nan,1142.5,18,0,0
A,190387,nan,nan,nan,1142.5,18,0,0
A,191387,nan,nan,nan,1141.7,18,0,0
A,192387,nan,nan,nan,1140.0,18,0,4
A,193387,nan,nan,nan,1140.8,18,0,0
A,194387,nan,nan,nan,1140.8,18,0,2
A,195387,nan,nan,nan,1143.3,18,0,0
A,196387,nan,nan,nan,1145.8,18,0,0
A,197387,nan,nan,nan,1144.2,18,0,0
A,198387,nan,nan,nan,1151.7,18,0,0
A,199387,nan,nan,nan,1150.8,18,0,10
